applicant_age,personal_sex,credit_duration_months,credit_amount,purpose,employment_years,num_existing_credits,savings_status,installment_rate_pct,credit_risk
42,male,12,4161.0,furniture,6.6,0,100-500,1,1
52,male,12,3642.0,car,4.4,2,>1000,3,1
66,female,24,15296.0,radio/tv,4.2,3,<100,3,2
36,male,12,1443.0,car,2.5,0,<100,1,2
62,male,36,2400.0,education,2.3,0,>1000,4,2
35,male,48,4436.0,repairs,6.1,1,>1000,3,1
57,male,24,4672.0,repairs,5.8,0,<100,4,1
54,male,24,1243.0,furniture,2.7,1,500-1000,3,2
46,female,12,3337.0,radio/tv,8.8,0,100-500,3,2
51,female,12,2411.0,repairs,8.4,2,500-1000,3,2
22,male,6,1182.0,education,0.8,2,<100,4,2
46,male,36,2891.0,repairs,1.9,1,500-1000,1,2
68,female,48,2946.0,radio/tv,3.4,0,500-1000,2,2
35,male,18,6155.0,radio/tv,6.9,1,<100,2,2
70,female,12,2004.0,education,8.0,0,500-1000,1,1
56,male,12,2279.0,radio/tv,4.0,0,unknown,4,2
21,female,24,5806.0,furniture,5.5,0,500-1000,4,2
57,male,36,4195.0,business,1.5,1,<100,3,2
47,female,6,1550.0,education,1.9,1,>1000,3,2
68,male,48,4521.0,furniture,5.0,0,500-1000,2,2
20,female,18,1389.0,business,3.2,0,>1000,1,1
23,male,36,2133.0,car,2.6,0,<100,4,1
66,male,18,6932.0,education,5.8,2,>1000,1,2
65,male,36,10928.0,radio/tv,0.9,0,500-1000,3,2
46,male,24,2003.0,car,3.5,1,>1000,4,2
42,male,12,1793.0,repairs,6.1,1,<100,4,2
65,female,18,1672.0,business,10.6,0,unknown,3,2
34,female,12,2759.0,business,8.5,3,>1000,4,1
28,male,36,4304.0,education,2.8,0,500-1000,4,2
33,female,24,3161.0,education,4.0,1,<100,4,2
71,female,18,985.0,education,3.9,0,unknown,3,2
49,female,48,1488.0,car,9.0,0,>1000,3,1
54,female,12,5921.0,car,4.6,0,unknown,4,2
45,female,48,1471.0,business,2.8,0,500-1000,1,1
30,male,18,5449.0,car,2.3,1,<100,1,2
62,male,24,2440.0,car,2.3,0,100-500,3,1
21,male,24,2432.0,education,1.7,0,<100,3,2
62,female,36,3949.0,repairs,6.4,0,unknown,1,2
29,male,48,4033.0,furniture,2.1,0,unknown,4,2
43,male,18,1128.0,furniture,2.2,0,unknown,4,1
68,male,24,5107.0,radio/tv,0.5,0,<100,4,1
69,male,24,2406.0,furniture,0.7,0,100-500,1,2
56,male,18,3759.0,repairs,1.2,0,>1000,2,1
60,male,24,2048.0,business,4.4,0,500-1000,3,2
21,male,6,1367.0,education,0.6,0,unknown,2,2
52,male,36,1576.0,radio/tv,3.5,1,unknown,4,2
67,male,48,4951.0,business,3.2,1,100-500,2,2
24,female,36,3424.0,radio/tv,3.3,1,unknown,4,2
36,male,12,2784.0,car,3.2,2,100-500,4,1
29,female,12,4347.0,repairs,0.9,0,500-1000,1,2
59,male,6,3033.0,education,2.0,0,>1000,3,1
62,male,24,1669.0,radio/tv,2.4,0,<100,1,1
48,female,36,3679.0,car,1.7,0,>1000,2,2
29,female,24,2605.0,repairs,3.2,0,unknown,2,2
19,male,24,4356.0,business,4.0,0,<100,1,1
28,female,18,1179.0,radio/tv,5.2,0,500-1000,4,1
42,male,6,2258.0,furniture,3.0,0,500-1000,2,1
38,female,24,1290.0,furniture,5.6,0,100-500,4,2
20,male,24,3884.0,education,6.4,0,unknown,3,2
56,male,48,6111.0,car,8.2,0,>1000,2,1
71,male,6,1474.0,education,1.1,0,<100,1,2
26,male,48,1201.0,repairs,3.1,0,500-1000,2,2
56,female,36,3151.0,education,1.7,0,>1000,4,2
61,male,6,6338.0,radio/tv,4.9,0,500-1000,4,2
44,female,36,5824.0,furniture,2.3,0,500-1000,1,1
29,female,12,3490.0,furniture,4.4,0,500-1000,2,1
54,female,36,1596.0,education,3.5,1,<100,3,2
68,male,6,4019.0,car,2.5,0,500-1000,3,1
20,male,18,4710.0,car,4.8,0,unknown,4,2
28,male,24,2019.0,repairs,2.1,1,500-1000,4,2
59,male,6,2137.0,car,2.8,0,unknown,3,1
61,male,6,5484.0,business,2.6,0,unknown,4,1
40,female,18,4938.0,radio/tv,2.0,1,>1000,4,2
60,male,18,2183.0,radio/tv,8.1,0,unknown,4,1
70,male,12,2390.0,furniture,0.9,0,unknown,3,2
66,male,36,3157.0,education,8.1,1,unknown,1,2
26,male,6,6713.0,furniture,1.7,0,<100,3,2
30,male,24,2858.0,radio/tv,1.1,0,>1000,4,1
66,male,6,2109.0,education,4.7,0,unknown,4,1
67,female,6,3462.0,repairs,4.7,0,100-500,3,1
20,male,36,1869.0,education,6.1,0,<100,2,2
53,female,12,6824.0,car,2.7,2,500-1000,4,2
69,male,18,3307.0,furniture,2.9,1,500-1000,2,2
66,male,36,2060.0,radio/tv,7.3,0,unknown,1,1
51,male,6,1687.0,repairs,1.0,0,100-500,1,1
67,female,48,1203.0,furniture,0.5,1,>1000,3,2
57,male,48,4500.0,furniture,8.1,1,>1000,4,2
56,female,48,8055.0,car,1.1,0,500-1000,4,2
60,male,18,2172.0,education,3.6,0,<100,1,1
44,male,6,2947.0,furniture,2.7,0,500-1000,2,2
28,male,48,1937.0,education,8.0,0,>1000,3,2
54,male,48,4395.0,furniture,4.6,0,100-500,3,2
